Specimen,Group,m1_width
CMNMA 54586,Recent,9.75
CMNMA 54621,Recent,11.61
CMNMA 54622,Recent,11.41
CMNMA 54624,Recent,12.67
CMNMA 54625,Recent,12.03
CMNMA 54627,Recent,12.6
CMNMA 54629,Recent,12.05
CMNMA 54645,Recent,11.79
CMNMA 54646,Recent,11.93
CMNMA 54647,Recent,11.92
CMNMA 54648,Recent,10.43
CMNMA 54649,Recent,10.4
CMNMA 54650,Recent,11.15
CMNMA 54651,Recent,11.86
CMNMA 54655,Recent,12.37
CMNMA 54659,Recent,11.42
CMNMA 54665,Recent,9.83
CMNMA 54670,Recent,11.65
CMNMA 54671,Recent,11.72
CMNMA 54672,Recent,12.28
CMNMA 54674,Recent,11.25
CMNMA 54675,Recent,11.45
CMNMA 54676,Recent,12.06
CMNMA 54686,Recent,11.63
CMNMA 54692,Recent,11.54
CMNMA 54718,Recent,10.26
CMNMA 54745,Recent,11.16
CMNMA 54749,Recent,9.93
CMNMA 54757,Recent,9.9
CMNMA 54795,Recent,10.81
CMNMA 54980,Recent,11.05
CMNMA 55006,Recent,10.95
CMNMA 75561,Recent,11.26
CMNMA 8802,Recent,12.17
CMNMA 8803,Recent,11.8
CMNMA 8804,Recent,12.17
F:AM 30430,Pleistocene-Alaska,14.27
F:AM 30438,Pleistocene-Alaska,13.97
F:AM 30440,Pleistocene-Alaska,14.7
F:AM 30474,Pleistocene-Alaska,14.87
F:AM 67196,Pleistocene-Alaska,14.43
F:AM 67198,Pleistocene-Alaska,14.6
F:AM 67208,Pleistocene-Alaska,12.53
F:AM 67224,Pleistocene-Alaska,13.67
F:AM 67228,Pleistocene-Alaska,14
F:AM 67230,Pleistocene-Alaska,13.43
F:AM 67235,Pleistocene-Alaska,14.93
F:AM 67242,Pleistocene-Alaska,15.13
F:AM 67245,Pleistocene-Alaska,14.6
F:AM 67250,Pleistocene-Alaska,14.13
F:AM 67251,Pleistocene-Alaska,17.13
F:AM 67253,Pleistocene-Alaska,12.8
F:AM 70943,Pleistocene-Alaska,13
F:AM 70944,Pleistocene-Alaska,13.6
F:AM 70958,Pleistocene-Alaska,11.37
F:AM 97079,Pleistocene-Alaska,13.1
YG 546.626,Pleistocene-Yukon,13.1
YG 587.1428,Pleistocene-Yukon,11.6
YG 627.7,Pleistocene-Yukon,12.6
YG 648.202,Pleistocene-Yukon,11.7
