Specimen,Group,P4_width
CMNMA 54267,Recent,11.28
CMNMA 54268,Recent,10.78
CMNMA 54269,Recent,9.35
CMNMA 54272,Recent,9.3
CMNMA 54280,Recent,11.64
CMNMA 54284,Recent,10.06
CMNMA 54285,Recent,10.52
CMNMA 54287,Recent,10.06
CMNMA 54289,Recent,9.27
CMNMA 54290,Recent,9.19
CMNMA 54292,Recent,10.22
CMNMA 54294,Recent,10.78
CMNMA 54298,Recent,11.43
CMNMA 54324,Recent,9.25
CMNMA 54325,Recent,9.94
CMNMA 54339,Recent,11.09
CMNMA 54341,Recent,9.92
CMNMA 54343,Recent,10.39
CMNMA 54347,Recent,9.87
CMNMA 54366,Recent,
CMNMA 54401,Recent,
CMNMA 54402,Recent,
CMNMA 54404,Recent,
CMNMA 54406,Recent,
CMNMA 54433,Recent,
CMNMA 54434,Recent,
CMNMA 54440,Recent,
CMNMA 54443,Recent,10.74
CMNMA 54451,Recent,9.45
CMNMA 54452,Recent,10.07
CMNMA 54453,Recent,
CMNMA 54457,Recent,10.55
CMNMA 54556,Recent,9.78
CMNMA 54557,Recent,9.14
CMNMA 54559,Recent,9
CMNMA 54583,Recent,9.54
CMNMA 54584,Recent,10.76
CMNMA 54585,Recent,11.81
CMNMA 54586,Recent,10.23
CMNMA 54607,Recent,9.35
CMNMA 54609,Recent,9.21
CMNMA 54611,Recent,10.57
CMNMA 54612,Recent,10.82
CMNMA 54621,Recent,10.06
CMNMA 54622,Recent,9.51
CMNMA 54624,Recent,10.22
CMNMA 54625,Recent,10.6
CMNMA 54627,Recent,11.58
CMNMA 54629,Recent,11.16
CMNMA 54645,Recent,10.86
CMNMA 54646,Recent,11.35
CMNMA 54647,Recent,10.68
CMNMA 54648,Recent,9.55
CMNMA 54649,Recent,9.47
CMNMA 54650,Recent,10.5
CMNMA 54651,Recent,11.2
CMNMA 54655,Recent,11.01
CMNMA 54659,Recent,10.34
CMNMA 54665,Recent,9.2
