Specimen,Group,P4_Length
CMNMA 54259,Recent,25.205
CMNMA 54260,Recent,25.5
CMNMA 54261,Recent,25.94
CMNMA 54263,Recent,25.37
CMNMA 54267,Recent,26.97
CMNMA 54268,Recent,25.94
CMNMA 54269,Recent,24.845
CMNMA 54270,Recent,25.29
CMNMA 54271,Recent,25.41
CMNMA 54272,Recent,24.33
CMNMA 54280,Recent,27.13
CMNMA 54284,Recent,24.44
CMNMA 54285,Recent,25.995
CMNMA 54287,Recent,25.27
CMNMA 54289,Recent,23.78
CMNMA 54290,Recent,23.79
CMNMA 54292,Recent,25.25
CMNMA 54294,Recent,26.85
CMNMA 54298,Recent,27.04
CMNMA 54324,Recent,26.23
CMNMA 54325,Recent,28.14
CMNMA 54339,Recent,29.7
CMNMA 54341,Recent,24.89
CMNMA 54343,Recent,25.07
CMNMA 54347,Recent,24.42
CMNMA 54366,Recent,24.06
CMNMA 54401,Recent,24.37
CMNMA 54402,Recent,23.79
CMNMA 54404,Recent,23.94
CMNMA 54406,Recent,25.86
CMNMA 54433,Recent,25.83
CMNMA 54434,Recent,23.79
CMNMA 54440,Recent,26.5
CMNMA 54443,Recent,26.6
CMNMA 54451,Recent,24.98
CMNMA 54452,Recent,27.4
CMNMA 54453,Recent,28.06
CMNMA 54457,Recent,26.74
CMNMA 54556,Recent,23.47
CMNMA 54557,Recent,24.65
CMNMA 54559,Recent,23.56
CMNMA 54583,Recent,24.72
CMNMA 54584,Recent,25.47
CMNMA 54585,Recent,28.085
CMNMA 54586,Recent,24.215
CMNMA 54607,Recent,25.68
CMNMA 54609,Recent,23.98
CMNMA 54611,Recent,26.23
CMNMA 54612,Recent,27.15
CMNMA 54621,Recent,25.78
CMNMA 54622,Recent,25.825
CMNMA 54624,Recent,26.76
CMNMA 54625,Recent,25.53
CMNMA 54627,Recent,28.64
CMNMA 54629,Recent,27.04
CMNMA 54645,Recent,26.17
CMNMA 54646,Recent,26.48
CMNMA 54647,Recent,27.14
CMNMA 54648,Recent,23.58085
CMNMA 54649,Recent,24.8
CMNMA 54650,Recent,26
CMNMA 54651,Recent,27.16
CMNMA 54655,Recent,26.42
CMNMA 54659,Recent,25.62
CMNMA 54665,Recent,23.48
CMNMA 54670,Recent,25.03
CMNMA 54671,Recent,26.1
CMNMA 54672,Recent,27.1
CMNMA 54674,Recent,23.93
CMNMA 54675,Recent,24.94
CMNMA 54676,Recent,26.11
CMNMA 54686,Recent,27.29
CMNMA 54692,Recent,26.33
CMNMA 54718,Recent,25.69
CMNMA 54744,Recent,24.64
CMNMA 54745,Recent,26.04
CMNMA 54748,Recent,25.54
CMNMA 54749,Recent,23.71
CMNMA 54751,Recent,26.49
CMNMA 54752,Recent,27.48
CMNMA 54757,Recent,24.68
CMNMA 54758,Recent,25.52
CMNMA 54759,Recent,26.53
CMNMA 54792,Recent,25.71
CMNMA 54793,Recent,23.91
CMNMA 54794,Recent,26.19
CMNMA 54795,Recent,25.86
CMNMA 54796,Recent,26.59
CMNMA 54797,Recent,25.04
CMNMA 54798,Recent,25.36
CMNMA 54799,Recent,26.63
CMNMA 54800,Recent,27.46
CMNMA 54802,Recent,23.14
CMNMA 54803,Recent,26.71
CMNMA 54804,Recent,24.8
CMNMA 54980,Recent,25.58
CMNMA 55006,Recent,26.31
CMNMA 75561,Recent,27.31
CMNMA 8802,Recent,27.29
CMNMA 8803,Recent,26.51
CMNMA 8804,Recent,26.58
YG  474.32,Pleistocene-Yukon,25.46
YG 103.111,Pleistocene-Yukon,23.58
YG 2.17,Pleistocene-Yukon,25.25
YG 273.1,Pleistocene-Yukon,24.54
YG 498.1,Pleistocene-Yukon,17.88
YG 585.2,Pleistocene-Yukon,26.18
YG 647.15,Pleistocene-Yukon,25.71
YG 648.201,Pleistocene-Yukon,23.61
YG 648.929,Pleistocene-Yukon,24.73
